#,Version,fileName,methodName,nAuth,methodHistories,loc,fain,fanout,wmc,returns,loops,comparison,maxNested,math,smells,buggy
"1","0.9.6","RowImpl.java","getAction","1","1","3","4","0","1","1","0","0","0","0","0","no"
"1","0.9.6","RowImpl.java","isDependent","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","RowImpl.java","getParameterCount","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","RowImpl.java","getFailedObject","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","SQLBuffer.java","getParameters","1","1","3","0","0","2","1","0","1","0","0","0","no"
"1","0.9.6","SQLBuffer.java","isEmpty","1","1","3","0","0","2","1","0","1","0","0","0","no"
"1","0.9.6","SQLFactoryImpl.java","getConfiguration","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","AbstractStoreManager.java","executeExtent","1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","0.9.6","AbstractStoreManager.java","cancelAll","2","2","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","AbstractStoreManager.java","newConfiguration","2","2","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","AbstractStoreManager.java","getContext","2","2","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","ApplicationIdToolTask.java","createCodeFormat","1","1","3","0","0","1","1","0","0","0","0","0","no"
