@relation BOOKKEEPER_B

@attribute nAuth numeric
@attribute methodHistories numeric
@attribute loc numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute wmc numeric
@attribute returns numeric
@attribute loops numeric
@attribute comparison numeric
@attribute maxNested numeric
@attribute math numeric
@attribute smells numeric
@attribute buggy {yes,no}

@data
"1","1","5","0","0","2","0","1","0","1","0","0","no"
"0","0","6","1","0","2","2","0","1","1","0","0","no"
"1","1","3","0","1","1","0","0","0","0","0","0","no"
"3","3","8","0","1","2","0","0","0","1","0","0","no"
"1","1","1","1","0","1","0","0","0","0","0","0","no"
"1","1","15","0","0","3","1","0","1","1","2","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","17","0","4","2","1","0","1","1","0","0","no"
"3","3","25","0","0","5","3","0","0","2","2","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","2","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","5","0","2","3","0","0","1","1","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","4","2","0","2","1","0","1","1","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","4","0","2","2","2","0","0","1","0","0","no"
"1","1","3","0","0","1","1","0","0","0","1","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"0","0","5","0","0","1","0","0","0","0","0","0","no"
"1","1","7","0","0","4","1","0","3","1","3","0","no"
"1","1","31","0","0","17","1","3","10","2","9","0","no"
"1","1","5","0","0","4","0","0","3","1","0","0","no"
"0","0","9","0","0","1","0","0","0","0","0","0","no"
"0","0","5","0","0","1","0","0","0","0","0","0","no"
"1","1","6","0","0","3","3","0","1","1","0","0","no"
"1","1","6","0","0","3","1","0","2","1","2","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"3","3","4","0","0","1","0","0","0","0","0","0","no"
"0","0","4","1","0","1","0","0","0","0","0","0","no"
"1","1","8","0","0","2","0","0","0","1","1","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","9","0","0","2","0","0","0","1","1","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"3","3","18","0","0","5","0","0","0","1","3","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"2","2","12","0","1","4","0","0","1","2","2","0","yes"
"2","2","4","2","1","2","1","0","0","1","0","0","no"
"0","0","7","0","0","1","0","0","0","0","0","0","no"
"1","1","4","0","1","1","0","0","0","0","1","0","no"
"4","4","31","0","0","7","0","0","0","1","4","0","yes"
"3","3","14","0","1","5","0","0","2","3","2","0","yes"
"3","3","10","2","0","5","0","0","0","2","2","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"3","3","13","0","1","7","0","1","2","3","2","0","yes"
"2","2","18","0","0","9","0","0","1","2","3","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"3","3","22","0","0","6","0","0","0","1","4","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"2","2","12","0","0","2","1","0","1","1","0","0","no"
"3","3","30","0","0","10","2","0","2","3","4","0","no"
"0","0","9","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"0","0","4","1","0","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","9","0","0","2","0","0","0","1","1","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","1","3","0","1","1","1","0","0","0","0","0","no"
"1","1","3","0","1","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","16","0","1","5","1","0","0","1","1","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","21","0","1","4","0","2","0","1","0","0","no"
"1","1","3","0","0","1","0","0","0","0","0","0","no"
"1","1","3","2","0","1","1","0","0","0","0","0","no"
"0","0","12","1","1","2","0","0","0","1","0","0","no"
"1","1","10","0","0","5","0","1","0","3","2","0","no"
"1","1","31","0","1","8","0","1","1","3","2","0","no"
"2","2","21","1","1","5","1","0","0","2","1","0","no"
"3","3","21","1","0","4","0","0","1","1","1","0","yes"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"2","2","12","0","0","4","0","0","0","2","2","0","no"
"0","0","4","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","1","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"3","3","33","0","0","10","2","0","1","1","3","0","no"
"1","1","8","0","0","5","0","0","0","2","0","0","no"
"3","3","28","0","0","11","2","1","2","3","4","0","yes"
"0","0","9","0","0","1","0","0","0","0","0","0","no"
"3","3","43","0","0","15","2","0","3","2","5","0","no"
"2","2","4","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"3","3","22","0","0","9","1","0","3","3","4","0","no"
"0","0","6","0","0","1","0","0","0","0","0","0","no"
"0","0","9","0","0","2","0","0","0","1","0","0","no"
"1","1","1","1","0","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","5","0","1","1","1","0","0","0","0","0","no"
"2","2","12","0","1","1","1","0","0","0","0","0","no"
"1","1","4","0","0","1","0","0","0","0","0","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","1","1","1","0","0","0","0","0","no"
"2","2","3","0","1","1","1","0","0","0","0","0","no"
"2","2","32","2","0","2","2","0","1","1","0","0","no"
"3","3","13","0","0","1","1","0","0","0","0","0","no"
"3","3","3","0","2","1","1","0","0","0","0","0","no"
"1","1","8","0","0","2","0","0","0","1","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"0","0","4","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","1","1","1","0","0","0","0","0","no"
"1","1","3","0","1","1","1","0","0","0","0","0","no"
"1","1","11","1","1","3","1","0","0","1","2","0","no"
