#,Version,fileName,methodName,nAuth,methodHistories,loc,fain,fanout,wmc,returns,loops,comparison,maxNested,math,smells,buggy
"1","4.0.0","LedgerMetadata.java","LedgerMetadata","0","0","3","1","0","1","0","0","0","0","0","3","no"
"1","4.0.0","LedgerMetadata.java","close","0","0","3","0","0","1","0","0","0","0","0","2","no"
"1","4.0.0","LedgerMetadata.java","isClosed","0","0","3","0","0","3","1","0","2","0","0","1","no"
"1","4.0.0","LedgerMetadata.java","LedgerMetadata","0","0","7","0","0","1","0","0","0","0","0","3","no"
"1","4.0.0","LedgerMetadata.java","updateZnodeStatus","1","1","3","0","0","1","0","0","0","0","0","1","no"
"1","4.0.0","LedgerMetadata.java","getNextEnsembleChange","0","0","9","0","0","2","2","0","0","1","1","5","no"
"1","4.0.0","LedgerMetadata.java","parseConfig","4","4","45","0","2","10","1","2","0","3","4","29","no"
"1","4.0.0","LedgerMetadata.java","addEnsemble","0","0","5","1","0","2","0","0","0","0","0","4","no"
"1","4.0.0","LedgerMetadata.java","markLedgerInRecovery","0","0","3","0","0","1","0","0","0","0","0","1","no"
"1","4.0.0","LedgerMetadata.java","getEnsemble","0","0","3","0","0","1","1","0","0","0","1","4","no"
"1","4.0.0","LedgerMetadata.java","serialize","3","3","19","0","0","5","1","2","1","2","1","5","no"
"1","4.0.0","LedgerOpenOp.java","operationComplete","5","5","8","0","1","2","0","0","1","1","0","4","yes"
"1","4.0.0","LedgerRecoveryOp.java","closeComplete","1","1","10","0","0","2","0","0","1","1","2","9","yes"
"1","4.0.0","MacDigestManager.java","getMacCodeLength","0","0","3","0","0","1","1","0","0","0","0","1","no"
"1","4.0.0","MacDigestManager.java","genDigest","2","2","6","1","0","1","1","0","0","0","0","7","no"
"1","4.0.0","MacDigestManager.java","getValueAndReset","0","0","3","0","0","1","1","0","0","0","0","1","no"
"1","4.0.0","MacDigestManager.java","MacDigestManager","0","0","7","0","1","1","0","0","0","0","0","5","no"
"1","4.0.0","MacDigestManager.java","update","0","0","3","0","0","1","0","0","0","0","0","4","no"
"1","4.0.0","PendingAddOp.java","writeComplete","3","3","27","0","0","7","3","0","2","2","3","17","yes"
"1","4.0.0","PendingAddOp.java","unsetSuccessAndSendWriteRequest","0","0","20","0","1","6","2","0","1","2","2","5","no"
"1","4.0.0","PendingAddOp.java","initiate","0","0","7","0","1","2","0","1","0","1","0","4","no"
"1","4.0.0","PendingAddOp.java","setEntryId","0","0","3","0","0","1","0","0","0","0","0","2","no"
"1","4.0.0","PendingAddOp.java","enableRecoveryAdd","0","0","4","0","0","1","1","0","0","0","0","1","no"
"1","4.0.0","PendingAddOp.java","sendWriteRequest","0","0","4","2","0","2","0","0","0","0","0","6","no"
"1","4.0.0","PendingAddOp.java","PendingAddOp","0","0","8","0","0","1","0","0","0","0","0","6","no"
"1","4.0.0","PendingAddOp.java","submitCallback","0","0","4","0","0","1","0","0","0","0","0","3","no"
"1","4.0.0","PendingReadOp.java","logErrorAndReattemptRead","0","0","7","1","1","1","1","0","0","0","2","12","no"
"1","4.0.0","PendingReadOp.java","initiate","2","2","19","0","1","4","0","1","1","2","1","9","no"
"1","4.0.0","PendingReadOp.java","nextElement","1","1","3","0","0","1","1","0","0","0","0","2","no"
"1","4.0.0","PendingReadOp.java","size","1","1","3","0","0","1","1","0","0","0","0","1","no"
"1","4.0.0","PendingReadOp.java","PendingReadOp","0","0","9","0","0","1","0","0","0","0","3","9","no"
"1","4.0.0","PendingReadOp.java","sendRead","0","0","9","2","1","2","1","0","0","1","0","7","no"
"1","4.0.0","PendingReadOp.java","readEntryComplete","2","2","26","0","2","6","2","0","2","1","3","9","yes"
"1","4.0.0","PendingReadOp.java","submitCallback","2","2","3","2","0","1","0","0","0","0","0","1","no"
"1","4.0.0","PendingReadOp.java","hasMoreElements","1","1","3","0","0","1","1","0","0","0","0","1","no"
"1","4.0.0","ReadLastConfirmedOp.java","ReadLastConfirmedOp","0","0","7","0","0","1","0","0","0","0","0","6","no"
"1","4.0.0","ReadLastConfirmedOp.java","initiate","2","2","5","0","0","2","0","1","0","1","0","4","yes"
"1","4.0.0","ReadLastConfirmedOp.java","readEntryComplete","4","4","30","0","0","10","1","0","4","2","2","10","yes"
"1","4.0.0","ReadOnlyLedgerHandle.java","asyncAddEntry","1","1","4","1","0","1","0","0","0","0","1","3","no"
"1","4.0.0","ReadOnlyLedgerHandle.java","addEntry","1","1","3","0","1","1","0","0","0","0","0","5","yes"
"1","4.0.0","ReadOnlyLedgerHandle.java","asyncAddEntry","1","1","3","0","1","1","0","0","0","0","0","3","no"
"1","4.0.0","ReadOnlyLedgerHandle.java","ReadOnlyLedgerHandle","0","0","3","0","0","1","0","0","0","0","0","8","no"
"1","4.0.0","ReadOnlyLedgerHandle.java","addEntry","1","1","4","1","0","1","0","0","0","0","1","5","yes"
"1","4.0.0","ReadOnlyLedgerHandle.java","asyncClose","1","1","3","0","0","1","0","0","0","0","0","3","no"
"1","4.0.0","RoundRobinDistributionSchedule.java","canProceedWithRecovery","1","1","20","0","0","6","3","1","3","3","1","7","yes"
"1","4.0.0","RoundRobinDistributionSchedule.java","RoundRobinDistributionSchedule","0","0","4","0","0","1","0","0","0","0","0","3","no"
"1","4.0.0","RoundRobinDistributionSchedule.java","getReplicaIndex","1","1","4","0","0","2","1","0","0","0","1","3","no"
"1","4.0.0","RoundRobinDistributionSchedule.java","getBookieIndex","1","1","3","0","0","1","1","0","0","0","2","2","no"
"1","4.0.0","SyncCounter.java","inc","1","1","4","0","0","1","0","0","0","0","0","2","no"
"1","4.0.0","SyncCounter.java","total","1","1","3","0","0","1","1","0","0","0","0","2","no"
"1","4.0.0","SyncCounter.java","setrc","0","0","3","0","0","1","0","0","0","0","0","3","no"
"1","4.0.0","SyncCounter.java","getSequence","0","0","3","0","0","1","1","0","0","0","0","1","no"
"1","4.0.0","SyncCounter.java","block","1","1","9","0","0","3","0","1","1","2","0","4","no"
"1","4.0.0","SyncCounter.java","dec","1","1","4","0","0","1","0","0","0","0","0","2","no"
"1","4.0.0","SyncCounter.java","setSequence","0","0","3","0","0","1","0","0","0","0","0","2","no"
"1","4.0.0","SyncCounter.java","setLh","0","0","3","0","0","1","0","0","0","0","0","3","no"
"1","4.0.0","SyncCounter.java","getrc","0","0","3","0","0","1","1","0","0","0","0","1","no"
"1","4.0.0","SyncCounter.java","getLh","0","0","3","0","0","1","1","0","0","0","0","1","no"
"1","4.0.0","AbstractConfiguration.java","loadConf","1","1","3","0","0","1","0","0","0","0","0","3","no"
"1","4.0.0","AbstractConfiguration.java","setLedgerManagerType","1","1","3","0","0","1","0","0","0","0","0","1","no"
"1","4.0.0","AbstractConfiguration.java","setZkLedgersRootPath","1","1","3","0","0","1","0","0","0","0","0","1","no"
"1","4.0.0","AbstractConfiguration.java","AbstractConfiguration","0","0","4","0","0","1","0","0","0","0","0","1","no"
"1","4.0.0","AbstractConfiguration.java","loadConf","1","1","4","0","0","1","0","0","0","0","0","3","no"
"1","4.0.0","ClientConfiguration.java","setBookieRecoveryPasswd","2","2","4","0","0","1","1","0","0","0","0","2","no"
"1","4.0.0","ClientConfiguration.java","setZkServers","2","2","4","0","0","1","1","0","0","0","0","2","no"
"1","4.0.0","ClientConfiguration.java","ClientConfiguration","0","0","4","0","0","1","0","0","0","0","0","1","no"
"1","4.0.0","ClientConfiguration.java","setBookieRecoveryDigestType","2","2","4","0","0","1","1","0","0","0","0","2","no"
"1","4.0.0","ClientConfiguration.java","ClientConfiguration","0","0","3","0","0","1","0","0","0","0","0","1","no"
"1","4.0.0","ClientConfiguration.java","setClientTcpNoDelay","2","2","4","0","0","1","1","0","0","0","0","2","no"
"1","4.0.0","ClientConfiguration.java","getZkTimeout","1","1","3","0","0","1","1","0","0","0","0","1","no"
"1","4.0.0","ClientConfiguration.java","setThrottleValue","2","2","4","0","0","1","1","0","0","0","0","2","no"
"1","4.0.0","ClientConfiguration.java","setZkTimeout","3","3","4","0","0","1","1","0","0","0","0","2","no"
"1","4.0.0","ClientConfiguration.java","getBookieRecoveryDigestType","1","1","3","0","0","1","1","0","0","0","0","1","no"
